,A3TV,ABE,ABG,ABG.P_0,ABG.P_1,ACS,ACX,ACX_0,AENA,AGS,ALT,AMS,ANA,ANA_0,BBVA,BKIA,BKIA_0,BKT,BME,BTO_0,BTO_1,CABK,CAR,CIE,CIN,CLNX,COL,COL_0,CRI,DIA,EBRO_0,EBRO_1,ELE,ELE_0,ENC,ENG,EVA,FAD,FCC,FER,GRF,IAG,IBE,IBLA,IBR,IDR,ITX,JAZ,LOR,MAP,MAP_0,MAS,MEL,MRL,MTS,NHH_0,NHH_1,NTGY,OHL,POP,PRS_1,REE,REE_0,REP,SAB,SAN,SCYR_0,SCYR_1,SGC,SGRE,SGRE_0,TEF,TEM,TL5,TRE,UNF,VIS,VIS_0,ZEL
2004-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-16,,0.11879720694534357,,,,-0.22690139921941188,,-2.3723608538208367,,,1.0664284213089121,,,0.8247038778109171,-1.5431921897838707,,,-1.2108206667567794,,-0.5852867635337773,,,,,,,,,,,,,,-0.6091876432534379,,0.6727096692732735,,,-0.5028516639485721,,,,0.8846870490082469,0.9766218770996772,,0.08188747567980648,-0.43183238631744103,,0.17092881908366184,,-0.39366165309954415,,,,,-0.255796971062235,,-0.15497672451358555,,-0.49914979205012333,1.3518670124372676,,0.2368644380033285,0.8111136322456233,,-1.7651896885786749,1.3116877563259102,,1.7620155515709137,,0.5377177081347013,0.4179916861376414,0.3386423130011369,,,0.7572172952648732,,,-1.7706733933929497
2004-02-17,,0.9794069457787318,,,,-0.3817421294592481,,-2.066290111227841,,,1.0344748012085467,,,0.7301750028195974,-1.7227091025004813,,,-1.2165135253001111,,-0.8342857232265873,,,,,,,,,,,,,,-0.44017485734986245,,0.4307185067705016,,,-0.9739244843304667,,,,0.8399336581312241,0.8814505926503376,,0.22432582188073236,-0.2098144593459652,,0.11013936005230296,,-0.3852126828433322,,,,,-0.12053015396935057,,0.4365650422908685,,-0.5506987525752035,1.1831618104359756,,0.28919501737666936,0.6224872916162167,,-2.008508142277136,1.3280016666114014,,1.4784542203735116,,0.41119911527913333,0.2882566871947297,0.1837521188190622,,,1.1467576588646253,,,-1.6880511937485774
2004-02-18,,0.8653740208223576,,,,-0.33167235845526105,,-2.1353600777883512,,,0.4935795625344281,,,0.9709202963623087,-1.658658561074644,,,-0.7636057773314265,,-1.0749535682518372,,,,,,,,,,,,,,-0.24082407667615746,,0.6658892315992109,,,-1.0126074557045275,,,,0.8502253406749677,0.41216332348463525,,-0.6178327970678982,-0.1412225750075982,,-0.06209780860959017,,-0.4220806870667055,,,,,-0.13195405340856128,,0.9373330894802323,,-0.1613739577915069,1.129277703095671,,0.3258053787777529,0.6345926233358248,,-1.8657761255074197,1.4038402730389112,,1.2958756688865232,,1.3011690134044627,-0.12069075009717156,-0.02479805357876184,,,1.1924909779547688,,,-1.7130278200346405
2004-02-19,,1.0187524107256218,,,,-0.2729092574646992,,-2.084025022337835,,,0.4908000926052777,,,1.0986666134027394,-1.1143255447073512,,,-1.3760749697520305,,-1.3483186812800876,,,,,,,,,,,,,,0.6230201612092273,,0.9864752645190397,,,-0.5648468255692094,,,,1.454423996002105,0.44280150249372985,,-0.4672914533986791,-0.21305340972001444,,-0.10706333544517921,,-1.0885186912486247,,,,,-0.7514255330768994,,0.7980349537138387,,-0.2329118011726789,0.8082115503473568,,0.12533295214776732,0.48682852750316435,,-1.2005512331360773,1.4785461761700314,,0.9281441099648722,,1.3728375318894712,-0.3053810723280706,-0.405538114679423,,,1.0753152797318892,,,-1.6559561771092763
2004-02-20,,1.0071177278784709,,,,-0.3705766156377065,,-1.6678419183411899,,,0.9681049804251952,,,1.1013436176450724,-1.1274370674547538,,,-1.4470257954460688,,-1.2738721010587233,,,,,,,,,,,,,,0.2679727738726791,,0.8964653250647622,,,-0.7128229304272378,,,,1.2879998603388365,0.10392092234218725,,-0.03839659180657177,0.22266493585929267,,0.18306480752887624,,-0.8991790385728721,,,,,-0.8669430813121433,,0.7090147583457344,,-0.5702475598590152,0.42606982816533867,,-0.026901168178566918,0.9659971959158714,,-1.451717748851496,1.0216941806742648,,1.0962783846696484,,1.8261458276552538,-0.18243246373252567,-0.7962787102478485,,,1.0376304567492705,,,-1.6898127922040351
2004-02-23,,1.1154472400638895,,,,-0.1476381839723134,,-1.2165903972221792,,,0.5596442059083707,,,0.8930905614053969,-0.9439899451838782,,,-1.4126730796797136,,-1.1647897843557096,,,,,,,,,,,,,,0.29476780769975097,,0.6356486640571715,,,-0.8769430151639628,,,,1.1352764508757436,0.4316089143460215,,-0.32810397351672793,0.3264228467599992,,0.1921996530025413,,-0.9164803983882159,,,,,-1.189310905588168,,0.7235869816837174,,-1.042853550072407,0.598577397401784,,-0.23542939417357506,0.9776812217988434,,-1.3331446632895558,1.0829115560182834,,1.6074810476897161,,1.7203637223991222,-0.30984676052188737,-0.7293428018205961,,,1.2689471300849477,,,-1.716518548246414
2004-02-24,,1.2809147596703958,,,,-0.34525705247884353,,-1.0599170765599553,,,0.9164320418601357,,,1.2541595703371147,-1.1268085429916697,,,-1.461952587070832,,-1.1428501635740507,,,,,,,,,,,,,,0.0039301253397780065,,0.6673114952297905,,,-0.39652823579806395,,,,0.7705865538346673,-0.014998214973917108,,-0.21231565431661448,0.6678921771221593,,-0.06400439074107797,,-1.064787877434584,,,,,-0.8946570110201933,,0.5653043396905739,,-0.8331853610514399,0.8534421519333203,,-0.4858663682130541,0.30785119247111803,,-1.3252596811891995,1.6014668210319987,,1.7051029391596983,,1.3695678417268842,-0.4203997750710778,-0.916602165739822,,,1.3413830648857035,,,-1.5399549160689396
2004-02-25,,1.0909850571618849,,,,-1.0821017786434173,,-0.48666741453084766,,,0.4321439078566116,,,1.0060027649774113,-0.9096171688403732,,,-1.3893463057828899,,-1.0736336407871765,,,,,,,,,,,,,,0.008919780331075915,,1.1232823590878582,,,-1.1526183156826877,,,,1.088591419499192,-0.36308401450148725,,-0.04658830399937048,0.5657206872111231,,-0.6774371879250836,,-0.5318174067128358,,,,,-1.1440013045804347,,0.8553099321575659,,-0.3561542192639587,0.9088340801396184,,-0.04206127568098749,0.4008883358462666,,-1.0486959646234133,1.3426150094181122,,1.738054273038742,,1.3029939364943117,-0.5951985268345861,-0.7303050829071764,,,1.5602559243939216,,,-1.7952695563169705
2004-02-26,,1.1917700962887212,,,,-0.8867581363901662,,-0.6664025002190176,,,0.5348323190247097,,,1.0668136083473534,-0.9279642044053887,,,-1.431669779310351,,0.4157119379527104,,,,,,,,,,,,,,0.17768838875706855,,1.1314872544519212,,,-0.751880191130922,,,,0.7532144039640083,-0.6253121290783679,,-0.17416125294049226,1.0144753223684042,,-0.7052565539578411,,-1.4034273639738288,,,,,-1.429569610802438,,0.6597231549577375,,-0.48958596349363714,1.0422004845115904,,-0.03392835235092576,0.420098792566048,,-0.9409346287443977,1.4037128939110108,,1.374050679225988,,1.332993760094814,-0.5044111307922245,-0.6128268862394459,,,1.0994431627568415,,,-2.0341275753494816
2004-02-27,,1.0745399727890395,,,,-0.9788265346442806,,-0.6466576464034143,,,0.8843938228276979,,,0.9517266508317601,-0.7274268744518135,,,-1.1151059687155684,,0.8143206335142471,,,,,,,,,,,,,,0.4082592252992516,,0.771905648734485,,,-0.9692788294517043,,,,1.1482289588174353,-0.06616384145502487,,-0.826323283356904,0.5793084894451197,,-0.8100578066430455,,-0.9375020892452425,,,,,-1.9982973247848677,,0.715825183530011,,-0.859174445244488,0.7921485839962805,,0.21163137793968578,0.46990177083728035,,-0.8644670036352897,1.1341416201198995,,1.064228191242003,,1.5358526060222608,-0.19085743834605007,-0.36681893701915724,,,1.0150309300929914,,,-2.214485642642598
2004-03-01,,1.018754781879491,,,,-0.5023803275559715,,-0.8894496180711371,,,0.742458456574132,,,0.9401664800930345,-0.6663978856578967,,,-1.37338214878943,,1.0291669899193847,,,,,,,,,,,,,,0.47201459735570184,,0.6989080908387688,,,-0.8741072469105604,,,,1.2725520283920562,-0.24787403323585677,,-0.6663978856578967,0.729152089162641,,-0.6573597485471098,,-0.9656081452002582,,,,,-1.668804998482247,,0.8145818779037681,,-1.2171649118889836,0.5982599690888132,,-0.043523213237698,0.43607739664749456,,-0.7294426158405803,1.051696395510969,,0.9874979704783822,,1.6544299591281537,-0.1237189564233317,-0.5405194894735637,,,1.039655512536072,,,-2.3192413705363446
2004-03-02,,1.2811256791461882,,,,0.00477463498789828,,-0.5380350524582832,,,0.8660188132293701,,,0.7302129307169289,-0.4278916379559951,,,-1.523926370460494,,0.9743590636751901,,,,,,,,,,,,,,0.3447503496596349,,0.20469701790647496,,,-1.3606013007565174,,,,1.3396193493977084,-0.5452502040876862,,-0.7272606975482702,0.7800728540692594,,-0.08504177773476289,,-1.1782632963500321,,,,,-1.3706038153995366,,1.1645424808538876,,-1.5023797099284222,0.6286410761982723,,0.16039873964938797,0.2587230766792537,,-0.5864506353077517,0.8965614238639981,,1.1946949434870158,,1.0902447948105747,-0.07324827623237816,-0.5685116761800743,,,0.956905539935811,,,-2.3888783178666464
2004-03-03,,1.531538141691669,,,,0.37211469812871334,,-0.343921297131744,,,0.7947662121587011,,,0.982471790288015,-0.6077709302402359,,,-1.2242149761827998,,0.6922184456683347,,,,,,,,,,,,,,-0.10679458794964601,,0.486202685534881,,,-1.4703072970457212,,,,1.1436446575815709,-0.584467469974045,,-0.6132721575268848,0.5235187978410071,,-0.08307347407071958,,-0.8632137172733734,,,,,-0.9687699575066291,,1.2061694067643198,,-1.654820518145461,0.5723188714064879,,0.2351611097180708,-0.37804171921428936,,-0.867457739464915,0.9780206616799325,,1.1255263452741984,,1.1848088341140335,-0.26412677528148054,-0.5748486388200023,,,1.2330939193473234,,,-2.4564733213693097
2004-03-04,,1.4614754304610325,,,,0.3507075088592525,,-0.25314550064393965,,,0.560114544431238,,,0.6424825680451471,-0.6262889100714809,,,-0.8387897942995575,,0.6973021850296492,,,,,,,,,,,,,,0.1275652515928867,,0.35248591508274046,,,-1.1896105299676674,,,,1.0678452858549108,-0.3891140467598372,,-0.3736370855434981,0.8657146058814023,,-0.26203839455049,,-0.8382332047282941,,,,,-1.041377891004934,,1.5724583955059992,,-1.4140215584644793,0.6199210548051771,,0.31917461675615805,-0.28664361351073114,,-1.1004080531455749,1.0724004444079926,,0.7139804948651092,,1.2856947893167687,-0.3813219188210854,-0.9545243041105501,,,1.0701046786080919,,,-2.830272963881436
2004-03-05,,1.2348776506429398,,,,0.427539298328234,,0.05888718656804578,,,0.4198720977339747,,,0.4845380251092201,-0.6864651694452506,,,-0.6585596041853493,,1.1015761577673793,,,,,,,,,,,,,,0.02260048135201428,,0.20140532543484915,,,-1.338895819899841,,,,1.0426666619743021,-0.3320269670589758,,-0.24897381016922382,0.7898008861899964,,-0.39491075669084347,,-0.7382107242027587,,,,,-1.2047320831883028,,1.3907334094594919,,-0.9881774158544766,0.6403302623538912,,0.2709049302876433,0.025637568901032286,,-1.1703787249038744,1.499293426406852,,0.6544158471129217,,1.2311376716819344,-0.5385616139855962,-1.1780219411956365,,,0.890754481986367,,,-2.9090567385109596
2004-03-08,,1.533006704776203,,,,0.373123263972284,,0.08394124420565494,,,0.4757985482623019,,,0.3217677214012069,-0.5651458190327576,,,-0.6075887057844711,,1.3070893839868174,,,,,,,,,,,,,,0.3540566437066638,,0.5186371125653373,,,-1.064900092697971,,,,0.9301279687168397,-0.5391337353286559,,-0.28589086130446856,0.44736032571407375,,-0.47445415559286186,,-1.397972380841317,,,,,-0.9820686237196564,,1.3989156037508037,,-0.6778028397242766,0.6144387931953397,,0.32615503795564565,0.04474808220047452,,-1.013205992255094,1.3240851609030742,,0.19449416033647043,,1.1874288487496611,-0.5289029934131662,-1.1860110249639473,,,0.8958756879179284,,,-3.0079730676581344
2004-03-09,,1.836483428942922,,,,0.4087751424523854,,0.2447900476695026,,,0.6502640072742156,,,-0.26731252060566546,-0.6393060558522193,,,-0.5140614056021974,,1.1168091944620888,,,,,,,,,,,,,,0.3304641270402962,,0.8053844082633483,,,-1.6155260145679915,,,,1.202731026930061,-0.4674662498781423,,-0.3744526875831127,0.4064923378469187,,-0.6503841965418372,,-1.6548986548711582,,,,,-0.8585835177576623,,1.4525488277954823,,-1.0325389830679985,0.5628224837450335,,0.6448375332398522,0.05342642665133365,,-1.0852107720213189,1.115181669530876,,0.14393449616614934,,1.3391969120374372,-0.6718337143724041,-1.4658985194416163,,,0.8116334420836008,,,-1.828302219968181
2004-03-10,,2.1566522609157257,,,,0.35408737500996085,,0.3512780497689733,,,0.655198117615139,,,-0.27864951436332225,-0.7653939108181256,,,-0.1813563319965724,,1.1334680666072077,,,,,,,,,,,,,,0.172603650647477,,0.7610544724012678,,,-1.502500762229225,,,,1.1784321020003896,-0.5910671047016866,,-0.32891729504503436,0.6871999164909364,,-0.8114697914146192,,-1.7235355876704324,,,,,-0.8221627503004092,,1.45004614772444,,-0.8221627503004092,-0.033070565091499055,,0.38868220292822986,0.4556290001541235,,-1.4278571972079677,1.348156049903412,,-0.6400803038702944,,1.1725306876378705,-0.904972785065077,-1.6365423078597678,,,0.7740327702108539,,,-0.5693119120815651
2004-03-11,,1.708639105417695,,,,0.08721697747843857,,0.5692976862331344,,,0.8341748898416493,,,-0.4850519579566775,-0.5664443860261478,,,-0.2534302052587501,,1.1922984839043043,,,,,,,,,,,,,,-0.13154932643168615,,1.0774753720165937,,,-1.537941683411336,,,,0.8847761863241174,-0.6347474972815659,,-0.2684886051815065,0.6279442548301266,,-0.6193610779003835,,-1.596852746952859,,,,,-1.976533464363609,,1.2219290359301767,,-1.0001048109235802,-0.10354046889194163,,0.11117746407929008,0.4033586371999506,,-0.8481419294146691,1.4711184510324273,,-0.681386170053152,,1.4441857481337554,-0.6010490730846835,-1.0671682165955714,,,1.3913527222573265,,,-0.6531533949508662
2004-03-12,,1.9680553589459964,,,,0.013453245820278126,,0.8379752048573699,,,0.788377463975068,,,-0.3078808667586394,-0.4180324677827008,,,-0.22033280153247595,,0.720035816441523,,,,,,,,,,,,,,0.12304600170750683,,0.44690195946322436,,,-1.971367191951075,,,,0.5399810889917218,-1.1425251703838126,,-0.48996423964384644,0.8222868487101324,,-0.39399142785277524,,-1.2738153861781978,,,,,-2.118239768162146,,1.134907665036335,,-0.9937727176602956,0.13148373096514646,,0.4335967471018776,-0.12441494496292808,,-0.8859588048497898,1.6897214791335402,,-0.4241310238321704,,1.6609254803167617,-0.308789172212654,-0.7572403634595118,,,1.0371506553239347,,,-0.517442399567399
2004-03-15,,1.8905868126651078,,,,-0.4798446916254736,,1.5236580319515247,,,0.8231327254747791,,,-0.45744243310058663,-0.33337534591443707,,,-0.6568041961007114,,0.10265604633098119,,,,,,,,,,,,,,-0.45002103926758735,,0.46607310523890366,,,-1.4733231391662724,,,,0.40972599678374494,-0.7143506059558452,,-0.4507451903652815,1.1781899618448375,,-0.12438804189513243,,-0.8559679252654588,,,,,-1.739063518833426,,1.0677628289123642,,-1.4870605202541665,0.3111653813368045,,0.031368667726168704,0.1324921921669665,,-0.9697303151315705,1.046018272438623,,-0.4995476882792925,,2.4573045135471427,-0.6365995862843369,-0.7200426770914726,,,0.9762921598260313,,,-0.36811978171292686
2004-03-16,,1.7232901043175302,,,,-0.45448763426536165,,1.8523616688582938,,,0.5135509838979901,,,-0.8102242396953049,-0.027760788798345495,,,-0.9586822956317604,,0.05531201596214039,,,,,,,,,,,,,,-0.565487987250971,,0.8263826160103579,,,-1.6379863703483166,,,,0.48806884808970813,0.2788556930575703,,-0.6402618481729775,1.1761673796858743,,-0.8072332172160422,,-1.3892171130115358,,,,,-1.5415379568393242,,1.0113135741628774,,-1.2391361098356646,0.631835134092062,,-0.01535637411962583,0.4780079992798134,,-0.9752827762515002,1.058494261732776,,-0.22470511542561797,,1.8455790290809562,-0.5840046019279164,-0.7990162762582499,,,1.0118525185192404,,,-0.280691121698674
2004-03-17,,1.6452936939106828,,,,-0.7919350796100281,,1.8270663843357247,,,-0.09323140242520621,,,-1.14486419274929,0.4925192865424243,,,-0.4632084914337938,,0.22586144043827622,,,,,,,,,,,,,,-0.9743670534724633,,0.7675436721837235,,,-1.5413804232380106,,,,0.6648712078306528,0.6265806436904047,,-0.7181777362628639,0.9933095389377363,,-0.960585553679088,,-1.7352924187399839,,,,,-1.1156478547134698,,0.672832855683137,,-0.7923279159690391,1.0419071945929501,,-0.6075886437737577,0.09834550626396767,,-0.3995549116703211,0.9892299496558962,,-0.4991092028156601,,1.9297700699430838,-0.15494961536610138,-0.8655349399636417,,,1.2322314510925385,,,-0.3496074592184788
2004-03-18,,1.3445125572301684,,,,-0.43520554540956397,,1.5277599040445826,,,0.5350890451609842,,,-0.8826170431779632,0.49972140102087426,,,-0.6521081671444949,,0.4272473818012611,,,,,,,,,,,,,,-0.9831461101735611,,0.47636927091216846,,,-1.5827298611699958,,,,0.8915367408458827,0.463869151474639,,-0.4560915152348705,0.7410273464953725,,-0.7751059350985998,,-1.479312040057327,,,,,-1.1533529077793745,,0.857758916503135,,-0.8846736607666911,0.9955771637995452,,-1.3204118982549515,0.26743867393987353,,-0.5246801470877004,1.1992119640635728,,-0.6630310578902671,,2.134232312294624,-0.5736686079963901,-1.0485348068358629,,,1.2833375210318847,,,-0.2300200465409535
2004-03-19,,1.5655649512815668,,,,-0.44445580613723706,,1.700451410161566,,,1.1887879210083985,,,-0.7604911948847721,0.33016714850681483,,,-0.7233566376254947,,0.04499448947829278,,,,,,,,,,,,,,-1.0662956230388994,,0.48927004853670236,,,-1.1555267040645427,,,,1.0911901737235095,0.11261745180179226,,-0.6781565958386047,0.8299300292524051,,-0.0914787387593374,,-1.6847523773683408,,,,,-1.3614348713031326,,0.8170943195781589,,-0.7734787943954877,0.7265097729332743,,-1.0103363608493923,0.3523179665967607,,-0.8052858850133952,1.0824995665598895,,-0.7953944629576903,,1.9192072646584506,-0.7429246882430535,-1.0363060569000848,,,1.1405937227369742,,,-0.26152143943509043
2004-03-22,,1.7553347757711406,,,,-0.5009338221272921,,1.8098494500627933,,,1.3775305262412252,,,-0.9316334481978675,-0.1392340054352204,,,-0.6455014329887155,,-0.09475369550175418,,,,,,,,,,,,,,-1.0073936303661821,,0.5250558688474659,,,-0.664232902314186,,,,0.8017132718199668,0.37528299032188417,,-1.1277355427760507,0.6999857898921795,,-0.12502093458363772,,-1.4856081808384478,,,,,-1.325137976161329,,1.2107208890657328,,-0.6278830813394468,0.6951482893168289,,-0.724855601803246,-0.18098489587796474,,-0.7819923089214215,1.105679194984496,,-0.6216815254374473,,1.4566656083617164,-0.9712636793010911,-1.4044554990371783,,,1.307124524199257,,,0.24021098412379172
2004-03-23,,1.908721178980099,,,,-0.3955959452966043,,2.4733337833806006,,,0.73777737809603,,,-0.6997498226771525,-0.17391014383522027,,,-0.952960193811046,,-0.022083771283125005,,,,,,,,,,,,,,-0.6260109005844943,,0.029194250114688326,,,-0.49442377697011225,,,,0.7537109592744188,-0.22027143020274897,,-0.7696875204522112,0.4282700063019194,,0.053812870946067244,,-1.3776553146281092,,,,,-1.470782357813382,,0.9618168501881524,,-0.8497208120356676,0.3579769661426098,,-0.6078420345739844,-0.04601669180022465,,-0.7842060632884736,1.1694106658758077,,-0.37021326846314123,,1.7260013169342137,-0.9228588783559052,-1.457538382425108,,,1.2938111148372327,,,0.34768996742487207
2004-03-24,,1.8928297710575974,,,,-0.5771993649228242,,2.526941714641854,,,0.99029659709669,,,-0.9664608307674399,0.015558575384142296,,,-0.7742092127236232,,0.07725067866910278,,,,,,,,,,,,,,-0.6576725564545745,,0.6194401303379491,,,-0.9478293991481952,,,,0.407287095617211,0.052415764879484815,,-0.4815608428486207,0.12547781537683714,,-0.17154103830048087,,-1.2093916851248787,,,,,-1.653385812094438,,0.8664081899096664,,-0.8615121824976423,0.07549651356395665,,-0.03664170303840439,0.11915799338421793,,-0.7274848229435933,1.303374328103463,,-0.4009797905093909,,1.6358336448010249,-1.1767638230992858,-1.3552447564826087,,,0.9525515580159548,,,0.3375574501168494
2004-03-25,,2.0699280688253783,,,,-0.6406440965767669,,2.4733009377856594,,,0.014360084826204718,,,-0.6976823323655228,0.11754449083679756,,,-0.9661889688743368,,0.0033638721181991306,,,,,,,,,,,,,,-0.5645782462208319,,0.4585702526016761,,,-1.0377514219332233,,,,0.1911805782292461,0.2245686370673783,,-0.10039471087418608,1.2336125379768954,,-0.3925904124890369,,-1.26457669717034,,,,,-1.2031851537960057,,1.1526075215912992,,-0.8976222438224752,-0.24855821173897202,,0.08699176932428068,-0.07432340540548608,,-0.6384800608054053,1.0084329852745777,,-0.6923121720237739,,1.899570267951732,-1.0634950038503619,-1.3567319615225313,,,0.787943841315621,,,0.11713925374430827
2004-03-26,,2.4479769738351815,,,,-0.7190138361933152,,2.2371499155544674,,,-0.13408113075674466,,,-0.3787888937247058,0.15226169500455775,,,-0.8334066715964937,,0.10120154074570939,,,,,,,,,,,,,,-0.5885820463039446,,0.720182139897602,,,-1.2275829767523403,,,,0.615020444692924,-0.28807654151783574,,-0.1811990378266391,1.3246448437177727,,-0.373843403404158,,-0.9766962290304761,,,,,-1.648724403520921,,0.6329501939533482,,-1.1379816620907812,-0.10404097267321323,,-0.6483602377875479,-0.04593885000375427,,-0.19023553794441883,0.6617794033570892,,-0.6425373952176185,,1.7466026294161379,-0.7797166143358346,-1.1940837229524237,,,0.6664759542418589,,,0.7866444292165173
